atm_id,name,lat,lon,operator
1318910652,Unknown ATM,12.8895751,77.5630383,Canara Bank
1318917186,ICICI Bank,12.8941977,77.5680809,ICICI Bank
1877211861,IndusInd Bank,12.8922498,77.5817101,IndusInd Bank
1923911570,Citibank,12.8950856,77.581582,Citibank
2032027880,ICICI Bank,12.8850998,77.5823163,ICICI Bank
2032034937,Kotak Mahindra Bank,12.8860743,77.5821092,Kotak Mahindra Bank
2044301341,Canara Bank,12.8919415,77.5817506,Canara Bank
2046124407,Central Bank of India,12.8958786,77.5819849,Central Bank of India
2066536098,Indian Bank,12.8835246,77.5831316,Indian Bank
2167156600,Unknown ATM,12.8875501,77.5706995,HDFC Bank
2168885812,HDFC Bank,12.895317,77.5816317,HDFC Bank
2177250483,HDFC Bank,12.8921409,77.5721791,HDFC Bank
2181320621,Unknown ATM,12.8822735,77.572507,State Bank of India
2181320624,Unknown ATM,12.8835009,77.5698955,Axis Bank
2512836521,Andhra Bank,12.8907146,77.58194,Andhra Bank
4277617894,Axis Bank,12.8867949,77.5820014,Axis Bank
4449043093,Unknown ATM,12.8827967,77.5693891,Indian Overseas Bank
4454874289,Unknown ATM,12.8831848,77.566088,Bank of Baroda
4456317692,Unknown ATM,12.8844123,77.5665775,State Bank of India
4463107591,Unknown ATM,12.8830723,77.5755888,Karnataka Bank
4463113489,Unknown ATM,12.8801126,77.5681771,Canara Bank
4472324191,Unknown ATM,12.8797355,77.5678057,State Bank
4486708297,Unknown ATM,12.8857953,77.5705791,Canara Bank
4486708997,Unknown ATM,12.8850398,77.5703422,HDFC Bank
4636504698,SBM,12.8026787,77.5088494,Unknown
5824798393,Unknown ATM,12.8876502,77.5525271,Canara Bank
5824798394,Unknown ATM,12.8876505,77.5507441,"Bank of India, City Engineering College Branch"
10538729869,Axis Bank,12.8591588,77.5422795,Axis Bank
12752691013,Unknown ATM,12.8745875,77.5414755,Karur Vysya Bank
308776404,Citibank,12.8386743,77.6627528,Citibank
459454508,Axis Bank,12.8443535,77.660307,Axis Bank
459464854,ICICI Bank,12.8437307,77.6623009,ICICI Bank
459464856,Indian Bank,12.8454224,77.6639145,Indian Bank
1468138617,Andhra Bank,12.892184,77.644283,Andhra Bank
1470730703,State Bank of India,12.8754555,77.6483068,State Bank of India
1474105939,IDBI Bank,12.889924,77.638912,IDBI Bank
1595181361,Unknown ATM,12.8405409,77.651351,Punjab National Bank
1596076556,HDFC Bank,12.844955,77.6656526,HDFC Bank
1596076621,Unknown ATM,12.8402975,77.6631905,Corporation Bank
1597840871,Bank of India,12.8403531,77.6637698,Bank of India
1603379726,Unknown ATM,12.8847042,77.6429877,State Bank of Mysore
1855991920,Axis Bank,12.8502526,77.6570531,Axis Bank
2030147384,Unknown ATM,12.8921693,77.5836432,Lakshmi Vilas Bank
2153030763,Indian Overseas Bank ATM,12.8967177,77.5858102,Indian Overseas Bank
2153030764,Indicash ATM,12.8967847,77.5858129,ICICI Bank
2339551591,Corporation Bank,12.8758604,77.6169923,Corporation Bank
2387041604,HDFC Bank,12.8985271,77.6448289,HDFC Bank
2387041605,Canara Bank,12.8972303,77.6459233,Canara Bank
2450174568,Unknown ATM,12.8985404,77.6216903,Axis Bank
2510071348,HDFC Bank,12.892932,77.6117539,HDFC Bank
2535325754,Unknown ATM,12.8912734,77.5941509,HDFC Bank
2619354951,Canara Bank,12.8777704,77.6386842,Canara Bank
2645107033,Karnataka Bank,12.8628669,77.6148979,Karnataka Bank
2898928817,Unknown ATM,12.8985525,77.6218042,State Bank of India
2920098831,Corporation Bank,12.8908414,77.5982928,Corporation Bank
2949121946,Axis Bank,12.8957721,77.5994431,Axis Bank
2953629737,ICICI Bank,12.8454531,77.6625903,ICICI Bank
3019860788,Axis Bank,12.8852127,77.5968148,Axis Bank
3019860789,Unknown ATM,12.8900746,77.5976753,Ing Vysya Bank
3198594516,ICICI Bank,12.850385,77.6574624,ICICI Bank
3688826571,Unknown ATM,12.8437558,77.6631139,Unknown
4057972757,Axis Bank,12.8918648,77.6496129,Axis Bank
4187001433,State Bank of India,12.8824167,77.5839245,State Bank of India
4255628589,Corporation Bank,12.8823914,77.5834957,Corporation Bank
4411605195,Unknown ATM,12.8377976,77.654935,Unknown
4440823097,Bank of Baroda,12.8655685,77.6001278,Bank of Baroda
4449251990,Unknown ATM,12.8414075,77.6450739,Karur Vysya Bank
4449299392,Unknown ATM,12.841417,77.647821,ICICI Bank
4470679191,Unknown ATM,12.8901975,77.6258846,Unknown
4615699789,Unknown ATM,12.8663259,77.5979475,Unknown
4702679393,State Bank of India,12.8809055,77.6010003,State Bank of India
4702706589,Unknown ATM,12.8805619,77.6020723,Yes Bank ATM
4714421893,State Bank of India,12.8776273,77.6023317,State Bank of India
4714421895,Unknown ATM,12.8770848,77.6020997,Axis ATM
4820043222,Unknown ATM,12.8416614,77.6443024,Karnataka Bank
5660661462,Axis Bank,12.8743888,77.6405192,Axis Bank
5692364120,ICICI Bank,12.8746789,77.6401603,ICICI Bank
5959076196,Canara Bank,12.8816846,77.6264499,Canara Bank
5959076197,ICICI Bank,12.881686,77.6279626,ICICI Bank
5995077987,State Bank of India,12.8946129,77.6021706,State Bank of India
